Borehole_Number,Longitude_deg,Latitude_deg,Depth_m,Sand_Bottom_m,Drilled_Depth_m,Predicted_Susceptibility_SI,Observed_Susceptibility_SI_if_available,Nearest_Active_Cell_ID,Distance_to_Nearest_Cell_Centre_m,Cell_X_m,Cell_Y_m,Cell_Z_m,Susceptibility_Source
RBGUT-04,72.412617,25.591939,33,0,125,0.0415736,0.0415736,2242653,6.663647446,-775,-325,-33.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,34,0,125,0.0523752,0.0523752,2241088,6.663647446,-775,-325,-34.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,35,0,125,0.0283856,0.0283856,2239377,6.663647446,-775,-325,-35.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,36,0,125,0.02265196,0.01214552,2237513,6.663647446,-775,-325,-36.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,37,0,125,0.02265196,0.0331584,2237513,6.663647446,-775,-325,-36.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,38,0,125,0.0113668,0.0113668,2235484,6.663647446,-775,-325,-37.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,39,0,125,0.013188,0.013188,2230902,6.663647446,-775,-325,-39.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,40,0,125,0.038308,0.060288,2228307,6.663647446,-775,-325,-40.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,41,0,125,0.038308,0.016328,2228307,6.663647446,-775,-325,-40.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,42,0,125,0.0271296,0.0271296,2222660,6.663647446,-775,-325,-42.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,43,0,125,0.0076302,0.00303952,2219557,6.663647446,-775,-325,-43.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,44,0,125,0.0076302,0.01222088,2219557,6.663647446,-775,-325,-43.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,45,0,125,0.035796,0.035796,2212813,6.663647446,-775,-325,-45.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,46,0,125,0.025748,0.025748,2209235,6.663647446,-775,-325,-46.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,47,0,125,0.018212,0.018212,2205550,6.663647446,-775,-325,-47.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,48,0,125,0.0143184,0.0143184,2201778,6.663647446,-775,-325,-48.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,49,0,125,0.0969632,0.0969632,2197914,6.663647446,-775,-325,-49.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,50,0,125,0.013188,0.013188,2193955,6.663647446,-775,-325,-50.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,51,0,125,0.0654376,0.0654376,2189905,6.663647446,-775,-325,-51.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,52,0,125,0.0141928,0.0141928,2185753,6.663647446,-775,-325,-52.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,53,0,125,0.0494236,0.0517472,2181525,6.663647446,-775,-325,-53.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,54,0,125,0.0494236,0.0471,2181525,6.663647446,-775,-325,-53.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,55,0,125,0.0157,0.0157,2177227,6.663647446,-775,-325,-54.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,56,0,125,0.0141928,0.0141928,2172889,6.663647446,-775,-325,-55.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,57,0,125,0.042704,0.0555152,2164100,6.663647446,-775,-325,-57.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,58,0,125,0.042704,0.0298928,2164100,6.663647446,-775,-325,-57.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,59,0,125,0.0428296,0.0428296,2159657,6.663647446,-775,-325,-58.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,60,0,125,0.0114296,0.0114296,2150660,6.663647446,-775,-325,-60.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,61,0,125,0.010519,0.0005652,2146103,6.663647446,-775,-325,-61.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,62,0,125,0.010519,0.0204728,2146103,6.663647446,-775,-325,-61.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,63,0,125,0.0291392,0.0258736,2136863,6.663647446,-775,-325,-63.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,64,0,125,0.0291392,0.0324048,2136863,6.663647446,-775,-325,-63.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,65,0,125,0.0601624,0.0601624,2132180,6.663647446,-775,-325,-64.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,66,0,125,0.00673844,0.0130624,2122703,6.663647446,-775,-325,-66.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,67,0,125,0.00673844,0.00041448,2122703,6.663647446,-775,-325,-66.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,68,0,125,0.00085408,0.00085408,2113102,6.663647446,-775,-325,-68.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,69,0,125,0.00530032,0.00530032,2108284,6.663647446,-775,-325,-69.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,70,0,125,0.0209752,0.0209752,2103454,6.663647446,-775,-325,-70.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,71,0,125,0.1253488,0.1253488,2098615,6.663647446,-775,-325,-71.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,72,0,125,0.0540708,0.0837752,2093768,6.663647446,-775,-325,-72.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,73,0,125,0.0540708,0.0243664,2093768,6.663647446,-775,-325,-72.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,74,0,125,0.0073476,0.0073476,2088918,6.663647446,-775,-325,-73.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,75,0,125,0.00631768,0.00631768,2079200,6.663647446,-775,-325,-75.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,76,0,125,0.0535056,0.032656,2074333,6.663647446,-775,-325,-76.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,77,0,125,0.0535056,0.0743552,2074333,6.663647446,-775,-325,-76.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,78,0,125,0.0352936,0.0437088,2064594,6.663647446,-775,-325,-78.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,79,0,125,0.0352936,0.0268784,2064594,6.663647446,-775,-325,-78.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,80,0,125,0.00947024,0.00947024,2059722,6.663647446,-775,-325,-79.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,81,0,125,0.04036784,0.0683264,2049969,6.663647446,-775,-325,-81.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,82,0,125,0.04036784,0.01240928,2049969,6.663647446,-775,-325,-81.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,83,0,125,0.1238416,0.160768,2040209,6.663647446,-775,-325,-83.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,84,0,125,0.1238416,0.0869152,2040209,6.663647446,-775,-325,-83.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,85,0,125,0.0600368,0.0600368,2035328,6.663647446,-775,-325,-84.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,86,0,125,0.0504284,0.0455928,2025558,6.663647446,-775,-325,-86.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,87,0,125,0.0504284,0.055264,2025558,6.663647446,-775,-325,-86.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,88,0,125,0.0314,0.0314,2015786,6.663647446,-775,-325,-88.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,89,0,125,0.0550128,0.0550128,2010900,6.663647446,-775,-325,-89.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,90,0,125,0.0259992,0.0259992,2006012,6.663647446,-775,-325,-90.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,91,0,125,0.0570224,0.0570224,2001122,6.663647446,-775,-325,-91.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,92,0,125,0.0925044,0.0568968,1996232,6.663647446,-775,-325,-92.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,93,0,125,0.0925044,0.128112,1996232,6.663647446,-775,-325,-92.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,94,0,125,0.074104,0.0980936,1986447,6.663647446,-775,-325,-94.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,95,0,125,0.074104,0.0501144,1986447,6.663647446,-775,-325,-94.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,96,0,125,0.057148,0.0254968,1976659,6.663647446,-775,-325,-96.5,Predicted_from_recovered_3D_model
RBGUT-04,72.412617,25.591939,97,0,125,0.057148,0.0887992,1976659,6.663647446,-775,-325,-96.5,Predicted_from_recovered_3D_model
